,number,value,datetime_start,datetime_complete,duration,params_a_kernel_size,params_attn_dropout,params_embed_dropout,params_l_kernel_size,params_multimodal_layers,params_out_dropout,params_v_kernel_size,state
0,0,0.8044198895027624,2026-01-17 14:46:59.539462,2026-01-17 15:01:27.737198,0 days 00:14:28.197736,2,0.22866475976262862,0.4700014807446531,1,3,0.2030720269621657,1,COMPLETE
1,1,0.7966850828729282,2026-01-17 15:01:27.738206,2026-01-17 15:16:06.152889,0 days 00:14:38.414683,4,0.42077476197221275,0.2981872303847857,1,3,0.3353276046427347,3,COMPLETE
2,2,0.7911602209944751,2026-01-17 15:16:06.152889,2026-01-17 15:33:33.365746,0 days 00:17:27.212857,2,0.33054775474325626,0.19746860571017708,3,6,0.2151519725625312,3,COMPLETE
3,3,0.8013812154696133,2026-01-17 15:33:33.365746,2026-01-17 15:51:24.951857,0 days 00:17:51.586111,2,0.3912123693596866,0.3443497176616979,3,6,0.3790055656605731,5,COMPLETE
4,4,0.8002762430939226,2026-01-17 15:51:24.952851,2026-01-17 16:10:03.488312,0 days 00:18:38.535461,4,0.413508754961677,0.45493367435696264,1,7,0.18040259104142287,5,COMPLETE
5,5,0.7928176795580111,2026-01-17 16:10:03.489316,2026-01-17 16:23:58.188357,0 days 00:13:54.699041,4,0.4601993083775694,0.4183258532450722,1,2,0.375154275141966,5,COMPLETE
6,6,0.8011049723756906,2026-01-17 16:23:58.188357,2026-01-17 16:41:14.368857,0 days 00:17:16.180500,4,0.2392573900175778,0.2201267015272242,1,6,0.1966844563973929,1,COMPLETE
7,7,0.7977900552486188,2026-01-17 16:41:14.368857,2026-01-17 16:55:37.050170,0 days 00:14:22.681313,2,0.42519364244856317,0.12241091689186767,1,3,0.3622617615360517,5,COMPLETE
8,8,0.800828729281768,2026-01-17 16:55:37.050170,2026-01-17 17:14:28.050222,0 days 00:18:51.000052,2,0.23820042254185547,0.2820825393787715,1,8,0.28790293584106674,1,COMPLETE
9,9,0.8077348066298342,2026-01-17 17:14:28.050222,2026-01-17 17:33:03.324621,0 days 00:18:35.274399,4,0.47634047658385054,0.4996129738888564,1,8,0.263739040154102,1,COMPLETE
