,number,value,datetime_start,datetime_complete,duration,params_a_kernel_size,params_attn_dropout,params_embed_dropout,params_l_kernel_size,params_multimodal_layers,params_out_dropout,params_v_kernel_size,state
0,0,0.8125,2025-11-27 21:21:25.021747,2025-11-27 21:22:14.673951,0 days 00:00:49.652204,2,0.22866475976262862,0.7700014807446531,1,3,0.2030720269621657,1,COMPLETE
1,1,0.7926829268292683,2025-11-27 21:22:14.673951,2025-11-27 21:23:03.610596,0 days 00:00:48.936645,4,0.42077476197221275,0.5981872303847857,1,3,0.3353276046427347,3,COMPLETE
2,2,0.7347560975609756,2025-11-27 21:23:03.611595,2025-11-27 21:24:01.594963,0 days 00:00:57.983368,2,0.33054775474325626,0.4974686057101771,3,6,0.2151519725625312,3,COMPLETE
3,3,0.7621951219512195,2025-11-27 21:24:01.594963,2025-11-27 21:25:00.429491,0 days 00:00:58.834528,2,0.3912123693596866,0.6443497176616979,3,6,0.3790055656605731,5,COMPLETE
4,4,0.7972560975609756,2025-11-27 21:25:00.430500,2025-11-27 21:26:01.151188,0 days 00:01:00.720688,4,0.413508754961677,0.7549336743569627,1,7,0.18040259104142287,5,COMPLETE
5,5,0.788109756097561,2025-11-27 21:26:01.152197,2025-11-27 21:26:50.124280,0 days 00:00:48.972083,4,0.4601993083775694,0.7183258532450723,1,2,0.375154275141966,5,COMPLETE
6,6,0.7972560975609756,2025-11-27 21:26:50.124807,2025-11-27 21:27:52.348992,0 days 00:01:02.224185,4,0.2392573900175778,0.5201267015272242,1,6,0.1966844563973929,1,COMPLETE
7,7,0.801829268292683,2025-11-27 21:27:52.349523,2025-11-27 21:28:44.999903,0 days 00:00:52.650380,2,0.42519364244856317,0.4224109168918677,1,3,0.3622617615360517,5,COMPLETE
8,8,0.7942073170731707,2025-11-27 21:28:44.999903,2025-11-27 21:29:58.101715,0 days 00:01:13.101812,2,0.23820042254185547,0.5820825393787715,1,8,0.28790293584106674,1,COMPLETE
9,9,0.8003048780487805,2025-11-27 21:29:58.102705,2025-11-27 21:31:17.135299,0 days 00:01:19.032594,4,0.47634047658385054,0.7996129738888564,1,8,0.263739040154102,1,COMPLETE
10,10,0.7347560975609756,2025-11-27 21:31:17.135299,2025-11-27 21:32:09.903077,0 days 00:00:52.767778,6,0.29857430556495446,0.676794575969386,3,4,0.13676851844698334,3,COMPLETE
11,11,0.801829268292683,2025-11-27 21:32:09.903077,2025-11-27 21:33:03.535744,0 days 00:00:53.632667,2,0.2054349538652054,0.4020377221562461,1,4,0.11375480927120178,3,COMPLETE
12,12,0.774390243902439,2025-11-27 21:33:03.536248,2025-11-27 21:33:53.553825,0 days 00:00:50.017577,2,0.3594822665071914,0.42584784953855265,1,2,0.3081808815798823,5,COMPLETE
13,13,0.7957317073170732,2025-11-27 21:33:53.553825,2025-11-27 21:34:48.807075,0 days 00:00:55.253250,2,0.27523719639579264,0.5010343295944113,1,4,0.23005308948324504,1,COMPLETE
14,14,0.7789634146341463,2025-11-27 21:34:48.807075,2025-11-27 21:35:40.628788,0 days 00:00:51.821713,6,0.355760559427761,0.5437610579906229,3,3,0.16070841526992846,3,COMPLETE
