,number,value,datetime_start,datetime_complete,duration,params_a_kernel_size,params_attn_dropout,params_embed_dropout,params_l_kernel_size,params_multimodal_layers,params_out_dropout,params_trans_dropout,params_trans_layers,params_v_kernel_size,state
0,0,0.7713414634146342,2025-12-22 16:14:28.870670,2025-12-22 16:18:19.494962,0 days 00:03:50.624292,6,0.3030720269621657,0.5241907767479377,1,5,0.10060295198472927,0.46250185093081636,1,1,COMPLETE
1,1,0.7713414634146342,2025-12-22 16:18:19.495959,2025-12-22 16:26:25.162233,0 days 00:08:05.666274,4,0.3819947958501982,0.5864483899756816,1,7,0.17113963731741672,0.06325315560395173,7,1,COMPLETE
2,2,0.7652439024390244,2025-12-22 16:26:25.162846,2025-12-22 16:32:24.094416,0 days 00:05:58.931570,6,0.39174354975755177,0.6549498258129154,3,2,0.2832622882462735,0.07422333644429241,6,5,COMPLETE
3,3,0.7164634146341463,2025-12-22 16:32:24.094416,2025-12-22 16:38:14.023786,0 days 00:05:49.929370,6,0.466200255767722,0.5072034547218972,3,8,0.172923017687526,0.3558479249361283,6,3,COMPLETE
4,4,0.7987804878048781,2025-12-22 16:38:14.024872,2025-12-22 16:45:45.574845,0 days 00:07:31.549973,2,0.28133683034408247,0.7043419816475941,1,4,0.2891233195245554,0.4585904585699433,7,1,COMPLETE
5,5,0.7789634146341463,2025-12-22 16:45:45.575576,2025-12-22 16:50:32.101194,0 days 00:04:46.525618,4,0.3576585449270674,0.6583397527572223,1,7,0.3251936424485632,0.15759662055833207,2,5,COMPLETE
6,6,0.788109756097561,2025-12-22 16:50:32.102195,2025-12-22 16:55:04.395271,0 days 00:04:32.293076,2,0.23820042254185547,0.5820825393787715,1,8,0.28790293584106674,0.08566292132188547,1,1,COMPLETE
7,7,0.760670731707317,2025-12-22 16:55:04.396271,2025-12-22 17:03:39.380940,0 days 00:08:34.984669,4,0.36373904015410197,0.4965354145489372,3,7,0.1421772504001421,0.49951621736107044,8,5,COMPLETE
8,8,0.7972560975609756,2025-12-22 17:03:39.381940,2025-12-22 17:11:39.994919,0 days 00:08:00.612979,2,0.3462271807851962,0.40306643434119527,1,2,0.2693426696313978,0.19227886205952233,8,3,COMPLETE
9,9,0.7530487804878049,2025-12-22 17:11:39.995924,2025-12-22 17:16:53.563518,0 days 00:05:13.567594,2,0.3132286343146865,0.4877930455786708,3,8,0.3293087292789827,0.25359196430706105,4,5,COMPLETE
